Timestamp,Sex,Age,Sexuality ,Race,College,Major,Year,General Prompt,Anger Prompt,word count (prompt 1),word count (prompt 2)
2/27/2024 21:46:09,Male,21,Straight,Asian (including South Asian and Southeast Asian),Medical/ Pre-Med / Nursing,Biochemistry,Junior,"I haven’t had many significant events over the past few weeks. Perhaps the highlight of the past two weeks has been a spontaneous two hour discussion with my philosophy professor during his office hours. We debated about the origins of the universe and on determinism and free will. I remember feeling happy that the conversation was productive in helping me explore the responses to my own philosophical ideas but also because I felt that I had gotten a lot closer to my professor. I had a philosophy lecture today, and I definitely was looking forward to it more relative to previous weeks.","I rarely feel angry about things. In fact, if I were to think back to the last time I genuinely felt anger, I would have to talk about something that happened in high school. Perhaps it isn’t considered recent, but I will talk about it anyways. In high school, I joined a residential college program and had the opportunity to conduct research at a plant biology lab. I was pretty passionate about my work in the lab but I never really externalized it to my friends and roommates. One day, a friend of mine began talking condescendingly of my work and how I hadn’t produced tangible results yet. Often, when I get angry, I try to just internalize it and externally shrug it off. This time, I felt genuinely disrespected and ended up yelling at my friend and called him out. Interestingly, he is my best friend now.",102,148
2/27/2024 21:55:47,Female,21,Straight,Asian (including South Asian and Southeast Asian),Natural Sciences,Computer Science,Junior,"This past has been pretty good, mostly routine. I accidentally skipped my online class on monday because I was studying with my friends and lost track of time, but we have a dropped quiz, so it's not a big deal. I visited my family friends over the weekend, which was a nice change from campus. I got to unwind a little from the hectic week before and spend some time with their son, who's 8. I don't have any exams this week, so I was able to take some time to catch up on assignments and cook some healthier food for myself for the week. I'm excited for the rest of the week, since nsc has a lot of fun events coming up!","although I wasn't necessarily furious, but more annoyed, a recent time I remember feeling anger was at my roommates. Several of them had left dishes piled up in the sink for several days and one of them had even got on a trip for the weekend. When I was looking for my groceries to make some food for myself, I unearthed some moldy produce that they hadn't thrown away that exploded in a cloud in my face. That immediately sent me in a spiral about how they need to be cleaner and I cleaned up all the dishes and threw the moldy food away, totally grossed out.",123,107
2/27/2024 22:01:27,Male,24,Straight,"White, Asian (including South Asian and Southeast Asian)",N/A,N/A,N/A,"I recently had a job interview where I was not impressed with the recruiter or the company, so I turned them down despite their desire for a follow up interview. I felt bad for the recruiter who was super nice, but hey, I also had a different interview that went great. Other than that, I got to visit my girlfriend and do a bunch of goofy activities and even visiting a Buddhist temple, so it’s been a fun and interesting week. I’m also planning on learning to play an instrument for the first time, but it’s driving me crazy because it’s stuck in US customs after coming in from Turkey.","I can think of a couple things. First of all, my girlfriend’s parents are being extremely unreasonable with a certain situation, and the way they talk to her and treat her is really frustrating. I rarely feel truly mad, but sometimes, one of my coworkers really gets on my nerves. His manipulative tone, rude sense of humor, condescending nature, and honestly sheer stupidity at times really drives me insane. Not as much as when he starts making political statements though. Speaking of which, current politics and world events are something that easily makes me feel upset, particularly with the destruction of a certain country and the hypocrisy of so many other nations and people.",110,114
2/28/2024 1:53:49,Male,20,Queer/ LGBTQIA+,White,Engineering,Mechanical Engineering ,Junior,"This past week has been very busy in a good way. A week ago I had a hard exam that I was worried about but I actually felt like I did well which felt rewarding for my studying. It was the last exam of this round of midterms and I had concerts on Friday and Saturday that felt like a nice reprieve and reward from all the studying I did. The concerts themselves were very fulfilling with amazing artists and great production. It was nice to see some familiar faces from the music scene. It was also nice to meet new amazing people. While the rest of the weekend didn't really feel productive, I've hit my stride again starting this week and have met all of my goals for homework so I can have another exciting week ahead.","I haven't felt angry in a long time. It's not something I feel often. There are a lot of little things that sometimes upset me. But I don't really get angry more irritated or annoyed. And those are feelings that pass quickly and I forget about. I'm probably forgetting something, but the last memorable time I felt angry was over winter break. Even so thinking about it I wasn't actually angry more irritated and disappointed. My two close friends and I made plans with our other two close friends who are hard to coordinate plans with. We texted weeks before about the plan and the date to confirm we were all good. Except a week later my one friend says she is working that day and didn't schedule it off. So she said she would try to get the day off but I don't think she actually tried. What irritated me is I literally only hang out with this specific group of friends like once or twice a year. The year before, we had one amazing day where we spent the day together. We made plans for another day and my one friend lied about being free as they had a planned family vacation for that time that they knew about. It just really bummed me out. I understand they lied because they were worried about getting sick for a job interview, but that's no reason to lie about that. I had that whole day planned out and having a similar thing happen again this year just added to my irritation. ",138,261
2/28/2024 8:30:59,Female,23,Straight,Asian (including South Asian and Southeast Asian),N/A,N/A,N/A,"There were no major significant events in my life this past. I did get a stomach bug which made me sick and I felt sad about that but aside from this nothing major. My week so far has been going well. I plan to go to a coffee shop today to do work. I feel a touch stressed because I have lots of work to get done, but this is nothing out of the ordinary. I feel very lucky to not have any negative major significant events occur this week and I hope that this continues to stay true for the rest of the week. Aside from this I have nothing else to report/ say for this question. ","Last time when I felt anger was when I got into a disagreement with my parents. I felt very upset because I did not think they were being open minded and willing to understand and see the situation from my viewpoint. Whenever I'm angry I usually remind myself to take a deep breath. Also with anger I have to remind myself not to say anything rash or in the heat of the moment. Also when anger I sometimes can be a bit short tempered, and even if I'm not angry I am quick to get annoyed. This past time with my parents I think also their irritation further fueled my irritation. ",118,111
2/28/2024 9:30:51,Female,21,Straight,Hispanic/ Latino,N/A,N/A,N/A,"My week has been a little more stressful than normal just because I’m in the process of moving out of my sister’s house and worked all weekend, leaving me with barely any time to pack and move out by the end of the month. I also have been having conflict with my two older siblings so that’s been adding onto the stress, but I feel hopeful that this move will help me move forward with my life and bring me more peace. I was very fortunate last week to have my baby sister in town visiting me. It’s hard to live far away from her so I loved getting to spend the one on one time with her, especially during a stressful time in my life. I think her presence made me feel more secure in my relationships outside of my older siblings who I am experiencing some issues with at the moment. We didn’t do much out of the house because I don’t have a lot of money at the moment, but we spent a lot of time crafting and watching old seasons of the bachelorette. It was nice to relax and spend time with her on my days off. ","The last time I felt anger was last Tuesday and Wednesday. It was probably the most angry I have been in a very long time. There was miscommunication between my brother and I about spending time with my little sister that left me feeling very angry and hurt by his actions. He and I split up the days she was here and on one of the days I was going to spend with her, he scheduled her a nail appointment without making sure it worked with me. I would have been fine with it if the appointment wasn’t 40 minutes away where he lives and if he had made sure i had nothing planned before talking to my little sister about it and getting her excited about it. I have an old car and told him I didn’t want to drive back and forth before my little sister got here, hoping to prevent any of these issues, but with the nail appointment I would have had to drive back and forth 4 different times which wasn’t okay with me. I tried explaining my frustrations and he screamed at me over the phone, screaming vulgar and aggressive words at me and then hung up the phone. In a separate text, he decided to blame me for him yelling and took zero accountability about the entire situation. I haven’t talked to him since.",201,231
2/28/2024 13:26:50,Female,21,Straight,Asian (including South Asian and Southeast Asian),Natural Sciences,Public Health,Junior,"My week was pretty good. I have a physiology exam tomorrow so I've been studying for that. Over the weekend, I just hung out with friends and nothing significant really happened. It is NS week, so yesterday I went to the Texas Science Museum for the first time. The museum is really nice and I'm surprised that was my first time ever going there. The event was also really fun and I had a good time. Last week, I played pickleball with a couple of friends at the Clark fields. That was also really fun as I hadn't played in a very long time. I want to start playing more often.","I was angry was when my laptop broke back in January. It just stopped charging in the middle of my Zoom class and then died. I tried going to the Computer store at the FAC, but they were pretty unhelpful. So then, I just went back to my apartment and tried calling customer service. They had me on hold for an entire hour before they got to me, so I was a little bit annoyed at that point. The call also cut out a couple times. They had me troubleshoot the laptop for another hour. The reason I was annoyed was because I had already tried troubleshooting my laptop, so it just felt useless. But finally, they made a work order for me to send in my laptop to get repaired. I was also able to get a replacement laptop from my friend for the meantime.",111,146
2/28/2024 16:25:27,Female,23,Straight,Asian (including South Asian and Southeast Asian),N/A,N/A,N/A, My week was good. I learned a lot of new things at work. There were no really significant events but my manager resigned and now I’m getting a new manager  (he seems super cool tho). I feel positive about my new manager he seems understanding and kind.   I also bought new AirPods last week after 5 years with my own income so I felt quite good about that. I’m just settling into work and I still feeling a bit lost and confused in some aspects. I guess that’s normal tho. It’s a bit strange to be working after being a student all my life. I have to go to work everyday and I can’t wake up and just be like “oh I’ll just stay home today” or even wake up later. So yeah I’m feeling a lot of things this week! ,"I felt angry because my roommate didn’t clean her dishes but she wasn’t helping out around the house recently so it was building up. She seems a bit lazy and doesn’t wanna clean up after her own mess. So seeing those unwashed dishes made me more annoyed tbh. It all started after she didn’t really throw her leftover food from her meals into the trash but  just drain it in the sink which makes it clog 🤢. I told her to not do that next time but she still repeated it. It’s a combination and build up of all these factors that made me quite angry. But we talked it through, she was just really busy and she’s been making an effort ever since. ",141,124
2/28/2024 19:24:09,Female,54,Straight,Asian (including South Asian and Southeast Asian),N/A,N/A,N/A,"My son was down for the winter break, and while he was home we did his regular health check up. The labs came up with some concerning results, which spiralled into a bevy of further tests and investigations. Some past traumas have given me serious anxiety issues, esp health anxiety, both around my family and myself. I panicked so much with the results that I had panic attacks, could not sleep and and slipped into a full on anxiety disorder, which exhausted me so much that I slipped into a depressive state. This compromised my immunity and the past week has been particularly hard as I got hit with a respiratory infection. I have recently joined some creative classes which I really seemed to be enjoying. I was slowly trying to inch out of my anxiety and depressive state and the classes seemed to help a lot. My infection forced me to miss these classes and I am really thinking like there is some higher force which is not really letting me feel better. Know thats not true but circumstances just make you feel so alone and frustrated. Recovery is slow and exhausting.","Some choices I have made have taken my life’s course in a certain direction not necessarily of my choice. I am angry I made those choices. The trajectory of some of my peers is enviable and makes me angry at my choices. 

I feel angry I chose wrong. Had I not made that choice, it would have been different. I recently learnt that one of the batchmates is now the global head of a large multinational organization. I am truly proud and happy for him. But then, I also reflect on how if I had placed my myself ahead of everyone else's needs, I too could have had a different career path. I worked very hard to get to a place in life through my academic achievements and career choices. There came a time when family members and their needs and aspirations started taking precedence over mine. I keep compromising thinking that was in the best interest of the family. The family has since moved on in their lives, and all doing what they want to do. Unfortunately I seemed to have fallen off the wagon and am not sure how to recreate that self fulfilling life for me. I feel dejected and seem to lack the drive to reinvent myself. Much as I do try, I also feel a bit rusty and unsure how to get back on track. All this is making me angry and full of regrets. I know there is no other way but to pull myself out of it. But sometimes the slump feels too steep to crawl out of.",193,265
2/28/2024 20:02:09,Female,21,Queer/ LGBTQIA+,White,Liberal Arts,Psychology,Junior,"My week has been pretty boring… I’ve skipped school a bit so I felt a little guilty and lazy. I got some ideas for assignments I have coming up and I feel grateful for my friends, though, so overall I can’t say it’s been bad. When I get home from school I just read, so not much activity, although I did read outside yesterday and got some sun, which made me feel like a real human being. The book I was reading was for a class, about Norse Mythology, which is an interest of mine, so it was super fun to take time and further delve into the subject. I also have been slacking when it comes to fitness recently but I went to the gym this week and felt great after. ","I felt a little bit of anger towards my English professor this week, she introduced an assignment in which we have to write an email to someone in which we complain. Like if we experienced bad service we would have to complain to said establishment in the form of an email. The problem is, I don’t HAVE any problems! I don’t go out much, and when I do I AVOID conflict, so this assignment is annoying. I have no place that I want to send such an email to, and even if I did I wouldn’t actually want to send it and further create negativity in my life. Other than that, I don’t feel like I experienced much anger, and even in this particular instance it feels more like discontent. ",132,130
2/28/2024 20:15:28,Female,18,Straight,White,N/A,N/A,Freshman,"My past week has been relatively uneventful. I did go to my hometown for the weekend to see my high school percussion concert, so I saw a lot of old friends and hung out with some people I haven't seen in years. It was nice to be able to talk freely with some people I feel comfortable around. I also have been sleeping a lot, way more than I usually do (I usually don't sleep near as much as I should), yet I've felt unable to get out of bed every morning and have been skipping classes and work. I feel like it's somewhat concerning because I've always been unable to keep myself from falling asleep when I don't want to, and now that I am getting enough sleep I still can't keep myself from falling asleep. Like maybe I have some form of narcolepsy. Idk.","I got woken up the other day, while I was at home, because I heard yelling from down the stairs. I started listening to the conversation and it was my dad yelling at my brother because my dad took half of my brother's bagel and ate it without permission and then my brother walked out of the room muttering, and my dad decided it was like super rude and disrespectful and just started screaming at him. like bro you ate his bagel what did you expect. anyway I just had to listen to them yelling at each other for like half an hour it was so stupid my dad has anger issues and terrible narcissism I swear.",146,117
2/28/2024 23:02:40,Female,20,Queer/ LGBTQIA+,White,Natural Sciences,Computer Science,Junior,"This past week, I've been playing catch-up after being out of town for a couple weekends in a row. There hasn't been anything significant going on but I've been pretty busy with classes/working out/my job. I haven't been busy in a bad way though -- I've still found the time to hang out with friends or sit down and watch sports -- it's just harder to balance and I'm still a bit behind on school! I'm hoping to knock out a lot of school stuff this weekend so that I can relax a bit next week as I pack and leave for a spring break trip with friends. As much as I am enjoying all of the activities on my calendar, I am really tired and ready for a break!","I was walking home from class with a group of friends when one of them started talking about something really vaguely. I didn't hear the first part of the conversation, so I asked him what he was talking about, but he didn't really acknowledge my question and just moved on. As the conversation moved on, I caught on to what he was talking about and realized that he was talking about something that some people treat as taboo and was refraining from telling me since he was worried that I'd judge him. That made me angry at the people around him who conditioned him to think that people would judge him rather than accept him when they heard about this. It was such a small part of my day but really stuck in my mind all day long and is still bugging me.",130,143
2/28/2024 23:07:55,Female,18,Straight,White,Medical/ Pre-Med / Nursing,Psychology,Freshman,I've had such a busy week and I'm feeling so stressed out because literally everything is happening all in one week and I feel like I'm going to fail all of my classes. All of my big (required) social events and midterms (for what feels like the hardest classes I'ver ever taken) are happening this week and it feels like I don't even have time to take a breath and rest.I know that this probably seems so insignificant in the grand scheme of things but it's causing me a lot of stress and anxiety right now and I just want to get through these next couple of days so I can actually enjoy life again.,My roommate has been a really inconsiderate person towards me and my other roommate and doesn't understand that we are not his personal maids and he never does anything to help around the dorm which is extremely frustrating. We have also noticed a pattern where he just expects us to pay things for him which is getting really old really fast. I just don't understand how his brain works and functions because he is just so socially dumb while he is actually a really smart person when it comes to school. I just really wish that I could go back into the past and decide not to live with him because I think we work better as friends and not roommates.,115,121
2/29/2024 0:35:21,Male,20,Queer/ LGBTQIA+,Other,Business,Supply Chain Management ,Junior,"My last week was super fun. During the weekend I spent time with my girlfriend where we studied together and grabbed Kura. We also played some Mario which was enjoyable. The next day I rockclimbed with a close friend of mine which I love because it’s a mix of exercise and a good time. We had insightful and deep conversations which I always appreciate. On Sunday I rushed to finish work and felt a little stressed trying to finish an assignment due at midnight and have enough time to go to HEB. I wanted to go to Costco but they were closed.

During the week I was invited to an event called can engineers dance that I wanted to go to especially since I was invited to it but couldn’t go because of an assignment due that night. I cooked some chicken drumsticks that didn’t turn out how I thought they would but still enjoyed them. Workload/class work was standard. I watched a bunch of hunterxhunter which I’m enjoying rewatching.",I’ve been feeling some anger towards myself this semester for procrastinating a bunch and doing work day of instead of working ahead. I was productive last semester so maybe I’m just burnt out but overall I’m having trouble finding my motivation. It makes me feel angry because I feel like my quality of work drops when I don’t put in the time I want to. I have high standards for myself so I don’t want my grades to slip but it can be hard when big motivators are gone like internships. It’s interesting being aware of my procrastination and lack of motivation but not being able to work towards improving it.,169,111
2/29/2024 16:24:22,Male,21,Straight,White,Business,Business,Sophomore,"it was okay, feeling burnt out for sure, working 35 hours a week and i’m taking 18 credit hours, the hardest part is getting out of bed in the morning. i worry about my weight a bit, I’ve always been skinny but my diet is awful and working in a restaurant and bar i’m doubling up on fatty foods and drinking. however, im really happy with my friends. i skip school a lot, but i emailed all my teachers and they seem sympathetic enough. i went out for a friends birthday last week, i think going out is good for me, i had so much fun. i’ve been playing a lot of games on my phone and doom scrolling instagram reels, probably should cut that out. overall 6/10 week","i tend to get really self conscious when i’m in the spotlight so to speak (except when i’m doing a performance oddly enough) and i just started bartending. i’ve worked at my current job for 3 years now, so everyone there knows me well. that being said, since the bar is the lifeblood of this restaurant, it’s a weirdly pressurized environment unlike any other job; all eyes are on you. so far it’s been going very well, but since i’ve moved up there’s been at least 3 servers that see me as a weak link, saying things like, “if he’s bartending, anyone can/why can’t i?” within earshot.  honestly really unimportant stuff, but nonetheless, embarrassment leads to frustration, a trait my family definitely exhibits. i guess going off the earlier prompt too, waking up late, skipping class, turning in assignments late leads to really easy self anger. ",129,146
